group,name,code,active,note
반도체/AI/로봇,KODEX 반도체,091160,1,
반도체/AI/로봇,KODEX AI반도체TOP2플러스,395160,1,
반도체/AI/로봇,KODEX 로봇액티브,445290,1,
반도체/AI/로봇,RISE AI&로봇,469070,1,
반도체/AI/로봇,TIGER 인터넷TOP10,365000,1,
2차전지,TIGER 2차전지TOP10,364980,1,
2차전지,KODEX 2차전지산업,305720,1,
자동차,TIGER 현대차그룹플러스,138540,1,
자동차,SOL 자동차TOP3플러스,466930,1,
자동차,KODEX 자동차,091180,1,
철강/소재/화학,KODEX 철강,117680,1,
철강/소재/화학,KODEX 에너지화학,117460,1,저유동성
바이오/헬스케어,KoAct 바이오헬스케어액티브,462900,1,
바이오/헬스케어,KODEX 바이오,244580,1,
바이오/헬스케어,KODEX 헬스케어,266420,1,
바이오/헬스케어,TIME K바이오액티브,463050,1,
바이오/헬스케어,TIME 글로벌바이오액티브,485810,1,
바이오/헬스케어,SOL 의료기기소부장Fn,464610,1,저유동성
바이오/헬스케어,TIGER 바이오TOP10,364970,1,
화장품,SOL 화장품TOP3플러스,0008T0,1,
화장품,TIGER 화장품,228790,1,
건설/운송,KODEX 건설,117700,1,
건설/운송,TIGER 200 건설,139220,1,
건설/운송,KODEX 운송,140710,1,저유동성
신재생/수소/기후,SOL KRX기후변화솔루션,404650,1,극저유동성
신재생/수소/기후,TIME K신재생에너지액티브,404120,1,
신재생/수소/기후,KODEX 신재생에너지액티브,385510,1,
신재생/수소/기후,PLUS 글로벌수소&차세대연료전지,419650,1,
신재생/수소/기후,RISE 수소경제테마,367770,1,
게임/콘텐츠,TIGER K게임,300610,1,저유동성
게임/콘텐츠,TIGER 게임TOP10,364990,1,
게임/콘텐츠,TIME K컬처액티브,410870,1,
게임/콘텐츠,KODEX 웹툰&드라마,395150,1,저유동성
게임/콘텐츠,TIGER 미디어컨텐츠,228810,1,
게임/콘텐츠,TIGER 200커뮤니케이션서비스,315270,1,
소비/여행/음식료,HANARO Fn K-푸드,438900,1,
소비/여행/음식료,TIGER 여행레저,228800,1,
금융,KODEX 은행,091170,1,
금융,KODEX 보험,140700,1,
금융,KODEX 증권,102970,1,
금융,SOL 금융지주플러스고배당,484880,1,
금융,TIGER 지주회사,307520,1,
방산,KODEX 방산TOP10,0080G0,1,
방산,PLUS 글로벌방산,496770,1,
방산,PLUS K방산소부장,0090B0,1,
조선,SOL 조선TOP3플러스,466920,1,
조선,SOL 조선기자재,0141S0,1,
배당/그룹,KODEX 배당가치,325020,1,
배당/그룹,KODEX 삼성그룹,102780,1,
해외레버리지(성격다름),TIGER 차이나CSI300 레버리지(합성),204480,0,별도취급
해외레버리지(성격다름),TIGER 인도니프티50 레버리지(합성),236350,0,별도취급/극저유동성
